Mes,DÍA,T. MEDIA,T. MÁX,T. MÍN,V. MEDIA VIENTO,RACHAS MÁX,PRESIÓN MEDIA,LLUVIA
October,24,17 °C,25 °C,9 °C,12.3 km/h,-- km/h,1017.4 hPa,-- mm
October,25,17 °C,26 °C,11 °C,13.2 km/h,-- km/h,1015.7 hPa,-- mm
October,26,16 °C,22 °C,10 °C,15.2 km/h,-- km/h,1015.9 hPa,-- mm
October,27,17 °C,26 °C,9 °C,12.6 km/h,-- km/h,1015.7 hPa,-- mm
October,28,13 °C,19 °C,9 °C,17.4 km/h,-- km/h,1015.5 hPa,-- mm
October,29,12 °C,18 °C,10 °C,13.8 km/h,-- km/h,1019 hPa,-- mm
October,30,14 °C,23 °C,5 °C,11.8 km/h,-- km/h,1020.1 hPa,-- mm
October,31,14 °C,22 °C,6 °C,12.5 km/h,-- km/h,1017.5 hPa,-- mm
November,1,13 °C,17 °C,9 °C,10.2 km/h,-- km/h,1016.1 hPa,-- mm
November,2,13 °C,17 °C,11 °C,14.8 km/h,-- km/h,1017.1 hPa,-- mm
November,3,15 °C,24 °C,10 °C,11.3 km/h,-- km/h,1018.1 hPa,-- mm
November,4,15 °C,21 °C,11 °C,11 km/h,-- km/h,1016.5 hPa,-- mm
November,5,18 °C,27 °C,11 °C,11.4 km/h,33.3 km/h,1016.6 hPa,-- mm
November,6,18 °C,23 °C,12 °C,12.7 km/h,-- km/h,1015.9 hPa,-- mm
November,7,18 °C,23 °C,13 °C,12.4 km/h,-- km/h,1015.8 hPa,-- mm
November,8,19 °C,27 °C,14 °C,10.5 km/h,-- km/h,1016.1 hPa,-- mm
November,9,20 °C,28 °C,13 °C,14.6 km/h,31.5 km/h,1016.7 hPa,-- mm
November,10,21 °C,32 °C,12 °C,11.3 km/h,-- km/h,1014.1 hPa,-- mm
November,11,23 °C,32 °C,11 °C,14.7 km/h,-- km/h,1010.8 hPa,-- mm
November,12,21 °C,29 °C,14 °C,12.8 km/h,-- km/h,1011 hPa,-- mm
November,13,18 °C,28 °C,10 °C,13.4 km/h,-- km/h,1013.5 hPa,-- mm
November,14,19 °C,27 °C,12 °C,14.8 km/h,-- km/h,1013.1 hPa,-- mm
November,15,17 °C,24 °C,13 °C,16.1 km/h,-- km/h,1017.8 hPa,-- mm
November,16,18 °C,27 °C,9 °C,14.4 km/h,37 km/h,1017.3 hPa,-- mm
November,17,18 °C,26 °C,10 °C,14.6 km/h,-- km/h,1015.9 hPa,-- mm
November,18,16 °C,25 °C,11 °C,12.9 km/h,-- km/h,1016.2 hPa,-- mm
November,19,20 °C,30 °C,10 °C,13.8 km/h,-- km/h,1014.4 hPa,-- mm
November,20,18 °C,24 °C,12 °C,16.1 km/h,44.4 km/h,1015.2 hPa,-- mm
November,21,18 °C,30 °C,9 °C,11.5 km/h,-- km/h,1017.8 hPa,-- mm
November,22,23 °C,32 °C,12 °C,11.7 km/h,-- km/h,1013.7 hPa,-- mm
November,23,22 °C,30 °C,14 °C,14.7 km/h,-- km/h,1012.2 hPa,-- mm
November,24,17 °C,24 °C,10 °C,17.1 km/h,-- km/h,1016.9 hPa,-- mm
November,25,20 °C,31 °C,10 °C,10.3 km/h,-- km/h,1015.9 hPa,-- mm
November,26,21 °C,29 °C,13 °C,14.7 km/h,-- km/h,1013 hPa,-- mm
November,27,19 °C,29 °C,11 °C,15.1 km/h,-- km/h,1012.2 hPa,-- mm
November,28,16 °C,24 °C,11 °C,16.6 km/h,-- km/h,1012.7 hPa,-- mm
November,29,17 °C,24 °C,12 °C,14.3 km/h,-- km/h,1017.2 hPa,-- mm
November,30,20 °C,28 °C,13 °C,13.1 km/h,-- km/h,1012.8 hPa,-- mm
December,1,19 °C,26 °C,13 °C,14.7 km/h,-- km/h,1011.6 hPa,-- mm
December,2,16 °C,21 °C,11 °C,17.3 km/h,-- km/h,1013.7 hPa,-- mm
December,3,18 °C,26 °C,13 °C,13.5 km/h,-- km/h,1016 hPa,-- mm
December,4,19 °C,28 °C,12 °C,15.4 km/h,-- km/h,1012.2 hPa,-- mm
December,5,18 °C,27 °C,11 °C,15.8 km/h,-- km/h,1013 hPa,-- mm
December,6,18 °C,28 °C,11 °C,15.6 km/h,-- km/h,1014.7 hPa,-- mm
December,7,19 °C,29 °C,10 °C,15.2 km/h,-- km/h,1013.8 hPa,-- mm
December,8,18 °C,26 °C,12 °C,16.5 km/h,-- km/h,1014.7 hPa,-- mm
December,9,21 °C,31 °C,11 °C,13.9 km/h,-- km/h,1015.5 hPa,-- mm
December,10,24 °C,34 °C,14 °C,13.7 km/h,-- km/h,1012.9 hPa,-- mm
December,11,19 °C,27 °C,13 °C,17.5 km/h,-- km/h,1013.5 hPa,-- mm
December,12,17 °C,24 °C,13 °C,13.2 km/h,-- km/h,1016.3 hPa,-- mm
December,13,19 °C,27 °C,14 °C,14.2 km/h,-- km/h,1034.4 hPa,-- mm
December,14,22 °C,33 °C,12 °C,11.8 km/h,-- km/h,1015.9 hPa,-- mm
December,15,26 °C,35 °C,15 °C,15.2 km/h,-- km/h,1011.3 hPa,-- mm
December,16,21 °C,29 °C,14 °C,19.2 km/h,53.7 km/h,1012.4 hPa,-- mm
December,17,21 °C,32 °C,12 °C,12.4 km/h,-- km/h,1014.1 hPa,-- mm
December,18,23 °C,30 °C,14 °C,14.1 km/h,-- km/h,1012.7 hPa,-- mm
December,19,24 °C,32 °C,16 °C,14.7 km/h,-- km/h,1012.6 hPa,-- mm
December,20,23 °C,30 °C,15 °C,15.1 km/h,-- km/h,1012.4 hPa,-- mm
December,21,23 °C,32 °C,14 °C,14.3 km/h,-- km/h,1012.7 hPa,-- mm
December,22,23 °C,30 °C,14 °C,15.4 km/h,-- km/h,1014.1 hPa,-- mm
December,23,23 °C,30 °C,15 °C,15.2 km/h,-- km/h,1013.8 hPa,-- mm
December,24,23 °C,32 °C,13 °C,14.1 km/h,-- km/h,1013.8 hPa,-- mm
December,25,23 °C,32 °C,14 °C,13.7 km/h,-- km/h,1012.1 hPa,-- mm
December,26,22 °C,30 °C,13 °C,17 km/h,-- km/h,1014.9 hPa,-- mm
December,27,24 °C,31 °C,15 °C,15.4 km/h,-- km/h,1015.7 hPa,-- mm
December,28,24 °C,32 °C,15 °C,14.1 km/h,-- km/h,1014.9 hPa,-- mm
December,29,24 °C,32 °C,14 °C,14.4 km/h,-- km/h,1013.9 hPa,-- mm
December,30,24 °C,31 °C,15 °C,15.8 km/h,-- km/h,1014.5 hPa,-- mm
December,31,22 °C,26 °C,16 °C,14.7 km/h,-- km/h,1013.9 hPa,-- mm
